index,y,x
0,1290319,
1,41800,82650
2,41966.6667,82533.3333
3,41983.3333,82933.3333
4,42033.3333,82750
5,42033.3333,82916.6667
6,42050,82583.3333
7,42100,82450
8,42100,83100
9,42133.3333,82750
10,42150,82966.6667
11,42166.6667,82816.6667
12,42233.3333,82550
13,42250,81916.6667
14,42250,82433.3333
15,42283.3333,83066.6667
16,42300,82716.6667
17,42300,83066.6667
18,42316.6667,82850
19,42316.6667,82900
20,42316.6667,82983.3333
21,42316.6667,83000
22,42333.3333,82000
23,42333.3333,82950
24,42333.3333,83033.3333
25,42400,82183.3333
26,42433.3333,81883.3333
27,42550,81966.6667
28,42566.6667,81683.3333
29,42583.3333,82166.6667
30,42583.3333,82366.6667
31,42600,81600
32,42633.3333,80450
33,42650,80816.6667
34,42666.6667,81216.6667
35,42700,81083.3333
36,42716.6667,81300
37,42716.6667,82483.3333
38,42750,81700
39,42783.3333,80200
40,42783.3333,80983.3333
41,42783.3333,81183.3333
42,42800,80066.6667
43,42816.6667,81433.3333
44,42816.6667,82466.6667
45,42833.3333,80300
46,42850,80500
47,42850,82466.6667
48,42866.6667,79566.6667
49,42866.6667,80733.3333
50,42883.3333,79233.3333
51,42883.3333,82150
52,42900,78933.3333
53,42900,79616.6667
54,42933.3333,80283.3333
55,42950,80050
56,42950,81616.6667
57,42950,81883.3333
58,42950,82116.6667
59,42966.6667,79750
60,42966.6667,82400
61,42983.3333,79250
62,42983.3333,80600
63,42983.3333,81250
64,43000,82400
65,43033.3333,79283.3333
66,43033.3333,80883.3333
67,43033.3333,81466.6667
68,43066.6667,79950
69,43083.3333,79050
70,43100,79050
71,43100,79533.3333
72,43100,80233.3333
73,43100,82000
74,43116.6667,79200
75,43116.6667,81433.3333
76,43133.3333,79100
77,43133.3333,80266.6667
78,43133.3333,80750
79,43150,79500
80,43166.6667,79050
81,43166.6667,79233.3333
82,43166.6667,79466.6667
83,43166.6667,81683.3333
84,43166.6667,81850
85,43183.3333,81400
86,43200,79266.6667
87,43200,79550
88,43200,80383.3333
89,43216.6667,79216.6667
90,43216.6667,79750
91,43233.3333,80550
92,43250,79066.6667
93,43250,79833.3333
94,43250,81133.3333
95,43266.6667,79933.3333
96,43283.3333,80450
97,43283.3333,81250
98,43283.3333,81466.6667
99,43300,81550
100,43316.6667,79800
101,43316.6667,80833.3333
102,43316.6667,81750
103,43333.3333,79883.3333
104,43333.3333,80916.6667
105,43333.3333,81050
106,43350,80300
107,43350,81483.3333
108,43366.6667,80983.3333
109,43383.3333,80316.6667
110,43383.3333,80716.6667
111,43400,80350
112,43400,80666.6667
113,43433.3333,79666.6667
114,43433.3333,80316.6667
115,43433.3333,81500
116,43450,65633.3333
117,43450,80500
118,43466.6667,80533.3333
119,43466.6667,81183.3333
120,43483.3333,80483.3333
121,43516.6667,65600
122,43516.6667,65733.3333
123,43516.6667,79616.6667
124,43516.6667,79883.3333
125,43516.6667,81166.6667
126,43533.3333,79650
127,43550,79583.3333
128,43550,80250
129,43550,81383.3333
130,43566.6667,65566.6667
131,43566.6667,80933.3333
132,43566.6667,81700
133,43583.3333,79533.3333
134,43583.3333,79716.6667
135,43600,65466.6667
136,43600,79500
137,43600,80550
138,43600,81533.3333
139,43616.6667,80583.3333
140,43633.3333,65350
141,43633.3333,65483.3333
142,43633.3333,79466.6667
143,43633.3333,80033.3333
144,43650,79933.3333
